Z,HQ,HK,N_CTX_Q,N_CTX_K,D_HEAD,causal,dropout_p,layout,use_exp2,scale_per_head,mismatched_elems,total_elems,mismatched_percentage,greatest_abs_diff,greatest_rel_diff
1,2,2,2,4,16,False,0.0,bshd,True,False,6,64,9.4,0.02685546875,0.092529296875
1,4,1,2,4,16,False,0.0,bshd,True,False,16,128,12.5,0.029052734375,1.470703125
1,4,2,2,4,16,False,0.0,bshd,True,False,8,128,6.2,0.0263671875,0.71826171875
1,1,1,4,2,16,False,0.0,bshd,True,False,8,64,12.5,0.025390625,3.955078125
1,1,1,4,4,16,False,0.0,bshd,True,False,6,64,9.4,0.0229949951171875,1.470703125
1,2,2,4,4,16,False,0.0,bshd,True,False,7,128,5.5,0.02685546875,0.1356201171875
2,1,1,4,4,16,False,0.0,bshd,True,False,10,128,7.8,0.02392578125,0.4521484375
2,2,2,4,4,16,False,0.0,bshd,True,False,27,256,10.5,0.02734375,1.1728515625
1,1,1,128,64,16,False,0.0,bshd,True,False,18,2048,0.9,0.017578125,0.40185546875
3,3,3,128,128,64,False,0.0,bshd,True,False,70,73728,0.1,0.016357421875,18.140625
4,6,6,108,256,224,False,0.0,bshd,True,False,16,580608,0.0,0.013946533203125,4.640625
4,6,1,113,203,256,False,0.0,bshd,True,False,53,694272,0.0,0.0155029296875,11.1875
4,6,1,128,217,256,False,0.0,bshd,True,False,48,786432,0.0,0.012603759765625,7.5859375
4,6,2,113,211,128,False,0.0,bshd,True,False,16,347136,0.0,0.0127410888671875,1.4853515625
4,6,2,108,256,128,False,0.0,bshd,True,False,9,331776,0.0,0.012603759765625,136.875
4,6,1,512,256,64,False,0.0,bshd,True,False,8,786432,0.0,0.01348876953125,2.689453125
1,1,1,2,4,16,True,0.0,thd,True,False,4,32,12.5,0.021484375,0.150390625
1,2,2,2,4,16,True,0.0,thd,True,False,3,64,4.7,0.019287109375,0.10833740234375
1,4,1,2,4,16,True,0.0,thd,True,False,16,128,12.5,0.0302734375,3.955078125
1,4,2,2,4,16,True,0.0,thd,True,False,10,128,7.8,0.022369384765625,0.265869140625
1,2,2,4,4,16,True,0.0,thd,True,False,12,128,9.4,0.0418701171875,0.290771484375
2,2,2,4,4,16,True,0.0,thd,True,False,3,96,3.1,0.0218505859375,0.0968017578125
1,1,1,128,64,16,True,0.0,thd,True,False,18,1600,1.1,0.033203125,1.720703125
2,3,3,2,128,16,True,0.0,thd,True,False,5,96,5.2,0.01953125,1.7099609375
3,2,2,256,512,16,True,0.0,thd,True,False,17,2432,0.7,0.01611328125,1.6865234375
3,3,3,128,128,64,True,0.0,thd,True,False,576,8640,6.7,0.041015625,22.34375
2,4,4,1024,1024,64,True,0.0,thd,True,False,1224,212736,0.6,0.041015625,25.453125
4,6,6,108,256,224,True,0.0,thd,True,False,2990,59136,5.1,0.0478515625,55.40625
4,8,8,2048,2048,128,True,0.0,thd,True,False,2836,1358848,0.2,0.0498046875,74.0625
4,16,16,4096,4096,64,True,0.0,thd,True,False,2833,1358848,0.2,0.04248046875,640.5
2,4,4,8192,8192,32,True,0.0,thd,True,False,375,761728,0.0,0.040771484375,13.578125
4,6,1,113,203,256,True,0.0,thd,True,False,3594,84480,4.3,0.0531005859375,196.875
4,6,1,128,217,256,True,0.0,thd,True,False,5910,121344,4.9,0.04248046875,312.0
